"Commit Hash","Commit Message","File Name","Source Code Before File Path","Source Code After File Path","Diff File Path"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","pep425tags.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_pep425tags.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_pep425tags.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_pep425tags.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","status_codes.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_status_codes.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_status_codes.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_status_codes.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","wheel.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_wheel.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_wheel.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_wheel.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__init__.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__init__.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","basecommand.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_basecommand.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_basecommand.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_basecommand.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","baseparser.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_baseparser.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_baseparser.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_baseparser.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","cmdoptions.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_cmdoptions.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_cmdoptions.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_cmdoptions.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__init__.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","__init__.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb___init__.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","check.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_check.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_check.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_check.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","completion.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_completion.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_completion.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_completion.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","download.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","freeze.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_freeze.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_freeze.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_freeze.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","hash.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_hash.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_hash.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_hash.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","help.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_help.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_help.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_help.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","install.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_install.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_install.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_install.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","list.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_list.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_list.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_list.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","search.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_search.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_search.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_search.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","show.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_show.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_show.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_show.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","uninstall.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_uninstall.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_uninstall.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_uninstall.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","wheel.cpython-36.pyc","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_wheel.cpython-36.pyc_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_wheel.cpython-36.pyc_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_wheel.cpython-36.pyc_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","check.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_check.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_check.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_check.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","completion.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_completion.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_completion.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_completion.py_diff.txt"
"21adbd61fb2fb19bd135b1c0107c82b4f0c704bb","worked on chi squared and started building a new maths helper class","download.py","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.py_before.txt","codes/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.py_after.txt","diffs/21adbd61fb2fb19bd135b1c0107c82b4f0c704bb_download.py_diff.txt"
